"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Tue Aug 01 2023 10:30:00 GMT+0530 (India Standard Time)","19754.40","19757.05","19727.10","19734.85","19743.47","19730.83","19702.30","19787.62","19727.58","19667.55","19734.85"
"Tue Aug 01 2023 10:45:00 GMT+0530 (India Standard Time)","19734.65","19746.40","19715.05","19745.25","19743.72","19732.21","19703.15","19789.24","19729.46","19669.69","19745.25"
"Tue Aug 01 2023 11:00:00 GMT+0530 (India Standard Time)","19745.15","19746.95","19722.40","19730.40","19741.82","19732.03","19703.69","19788.22","19731.60","19674.97","19730.40"
"Tue Aug 01 2023 11:15:00 GMT+0530 (India Standard Time)","19730.90","19741.30","19730.35","19740.40","19741.61","19732.83","19704.41","19786.69","19734.43","19682.18","19740.40"
"Tue Aug 01 2023 11:30:00 GMT+0530 (India Standard Time)","19740.45","19748.90","19727.20","19748.00","19742.53","19734.28","19705.28","19786.74","19736.92","19687.10","19748.00"
"Tue Aug 01 2023 11:45:00 GMT+0530 (India Standard Time)","19749.20","19753.40","19732.25","19737.75","19741.84","19734.61","19705.92","19785.72","19738.78","19691.84","19737.75"
"Tue Aug 01 2023 12:00:00 GMT+0530 (India Standard Time)","19738.15","19742.55","19722.15","19728.55","19739.95","19734.03","19706.37","19784.94","19739.76","19694.59","19728.55"
"Tue Aug 01 2023 12:15:00 GMT+0530 (India Standard Time)","19728.20","19733.85","19718.20","19720.25","19737.13","19732.72","19706.64","19784.53","19740.14","19695.74","19720.25"
"Tue Aug 01 2023 12:30:00 GMT+0530 (India Standard Time)","19720.05","19732.05","19707.70","19712.05","19733.55","19730.75","19706.75","19783.61","19740.60","19697.59","19712.05"
"Tue Aug 01 2023 12:45:00 GMT+0530 (India Standard Time)","19712.50","19726.30","19704.85","19717.95","19731.32","19729.53","19706.97","19782.26","19741.31","19700.37","19717.95"
"Tue Aug 01 2023 13:00:00 GMT+0530 (India Standard Time)","19718.60","19738.00","19715.00","19738.00","19732.27","19730.34","19707.59","19781.72","19742.42","19703.12","19738.00"
"Tue Aug 01 2023 13:15:00 GMT+0530 (India Standard Time)","19738.90","19751.95","19735.70","19751.65","19735.04","19732.37","19708.46","19782.36","19743.80","19705.25","19751.65"
"Tue Aug 01 2023 13:30:00 GMT+0530 (India Standard Time)","19751.50","19765.70","19746.30","19747.85","19736.87","19733.84","19709.24","19782.25","19745.16","19708.07","19747.85"
"Tue Aug 01 2023 13:45:00 GMT+0530 (India Standard Time)","19748.45","19764.60","19733.30","19734.60","19736.55","19733.91","19709.74","19780.60","19743.89","19707.18","19734.60"
"Tue Aug 01 2023 14:00:00 GMT+0530 (India Standard Time)","19734.25","19744.25","19730.65","19737.55","19736.69","19734.26","19710.29","19780.45","19743.64","19706.84","19737.55"
"Tue Aug 01 2023 14:15:00 GMT+0530 (India Standard Time)","19737.15","19760.10","19734.55","19758.35","19739.78","19736.55","19711.24","19778.62","19743.08","19707.55","19758.35"
"Tue Aug 01 2023 14:30:00 GMT+0530 (India Standard Time)","19757.60","19762.80","19750.70","19756.60","19742.19","19738.46","19712.14","19777.23","19742.63","19708.04",""
"Tue Aug 01 2023 14:45:00 GMT+0530 (India Standard Time)","19757.15","19758.05","19722.70","19734.95","19741.15","19738.13","19712.59","19770.92","19740.44","19709.97","19734.95"
"Tue Aug 01 2023 15:00:00 GMT+0530 (India Standard Time)","19732.70","19745.90","19721.05","19736.15","19740.44","19737.94","19713.06","19762.92","19738.27","19713.62","19736.15"
